+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 24-05-2019_16-48-45

	inpoed array

219 220 5 3 
219 428 0 0 
219 584 0 0 
220 428 0 0 
220 221 5 3 
220 585 0 0 
221 222 5 3 
221 429 0 0 
221 585 0 0 
222 429 0 0 
222 223 5 3 
222 586 0 0 
223 224 5 3 
223 430 0 0 
223 586 0 0 
224 430 0 0 
224 225 5 3 
224 587 0 0 
225 226 5 3 
225 431 0 0 
225 587 0 0 
226 431 0 0 
226 227 5 3 
226 588 0 0 
227 228 5 3 
227 432 0 0 
227 588 0 0 
228 432 0 0 
228 229 5 3 
228 589 0 0 
229 230 5 3 
229 433 0 0 
229 589 0 0 
230 433 0 0 
230 231 5 3 
230 590 0 0 
231 232 5 3 
231 434 0 0 
231 590 0 0 
232 434 0 0 
232 233 5 3 
232 591 0 0 
233 234 5 3 
233 435 0 0 
233 591 0 0 
234 435 0 0 
234 235 5 3 
234 592 0 0 
235 236 5 3 
235 436 0 0 
235 592 0 0 
236 436 0 0 
236 237 5 3 
236 593 0 0 
237 238 5 3 
237 437 0 0 
237 593 0 0 
238 437 0 0 
238 239 5 3 
238 594 0 0 
239 240 5 3 
239 438 0 0 
239 594 0 0 
240 438 0 0 
240 241 5 3 
240 595 0 0 
241 242 5 3 
241 439 0 0 
241 595 0 0 
242 439 0 0 
242 243 5 3 
242 596 0 0 
243 244 5 3 
243 440 0 0 
243 596 0 0 
244 440 0 0 
244 245 5 3 
244 597 0 0 
245 246 5 3 
245 441 0 0 
245 597 0 0 
246 441 0 0 
246 247 5 3 
246 598 0 0 
247 248 5 3 
247 442 0 0 
247 598 0 0 
248 442 0 0 
248 249 5 3 
248 599 0 0 
249 250 5 3 
249 443 0 0 
249 599 0 0 
250 443 0 0 
250 251 5 3 
250 600 0 0 
251 252 5 3 
251 444 0 0 
251 600 0 0 
252 444 0 0 
252 253 5 3 
252 601 0 0 
253 254 5 3 
253 445 0 0 
253 601 0 0 
254 445 0 0 
254 255 5 3 
254 602 0 0 
255 256 5 3 
255 446 0 0 
255 602 0 0 
256 446 0 0 
256 257 5 3 
256 603 0 0 
257 258 5 3 
257 447 0 0 
257 603 0 0 
258 447 0 0 
258 259 5 3 
258 604 0 0 
259 260 5 3 
259 448 0 0 
259 604 0 0 
260 448 0 0 
260 261 5 3 
260 605 0 0 
261 262 5 3 
261 449 0 0 
261 605 0 0 
262 449 0 0 
262 263 5 3 
262 606 0 0 
263 264 5 3 
263 450 0 0 
263 606 0 0 
264 450 0 0 
264 265 5 3 
264 607 0 0 
265 266 5 3 
265 451 0 0 
265 607 0 0 
266 451 0 0 
266 267 5 3 
266 608 0 0 
267 268 5 3 
267 452 0 0 
267 608 0 0 
268 452 0 0 
268 269 5 3 
268 609 0 0 
269 270 5 3 
269 453 0 0 
269 609 0 0 
270 453 0 0 
270 271 5 3 
270 610 0 0 
271 272 5 3 
271 454 0 0 
271 610 0 0 
272 454 0 0 
272 273 5 3 
272 611 0 0 
273 274 5 3 
273 455 0 0 
273 611 0 0 
274 455 0 0 
274 275 5 3 
274 612 0 0 
275 276 5 3 
275 456 0 0 
275 612 0 0 
276 456 0 0 
276 277 5 3 
276 613 0 0 
277 278 5 3 
277 457 0 0 
277 613 0 0 
278 457 0 0 
278 279 5 3 
278 614 0 0 
279 280 5 3 
279 458 0 0 
279 614 0 0 
280 458 0 0 
280 459 0 0 
281 459 0 0 
281 282 2 2 
282 459 0 0 
282 283 2 2 
282 460 0 0 
282 616 0 0 
283 460 0 0 
283 617 0 0 
283 284 2 2 
284 285 2 2 
284 461 0 0 
284 617 0 0 
285 461 0 0 
285 286 2 2 
285 618 0 0 
286 287 2 2 
286 462 0 0 
286 618 0 0 
287 462 0 0 
287 615 0 0 
287 288 2 2 
288 289 2 2 
288 463 0 0 
288 615 0 0 
289 463 0 0 
289 290 2 2 
289 619 0 0 
290 291 2 2 
290 464 0 0 
290 619 0 0 
291 464 0 0 
291 292 2 2 
291 620 0 0 
292 293 2 2 
292 465 0 0 
292 620 0 0 
293 465 0 0 
293 294 2 2 
293 621 0 0 
294 295 2 2 
294 466 0 0 
294 621 0 0 
295 466 0 0 
295 296 2 2 
295 622 0 0 
296 297 2 2 
296 467 0 0 
296 622 0 0 
297 467 0 0 
297 298 2 2 
297 623 0 0 
298 299 2 2 
298 468 0 0 
298 623 0 0 
299 468 0 0 
299 300 2 2 
299 624 0 0 
300 301 2 2 
300 469 0 0 
300 624 0 0 
301 469 0 0 
301 302 2 2 
301 625 0 0 
302 303 2 2 
302 470 0 0 
302 625 0 0 
303 470 0 0 
303 304 2 2 
303 626 0 0 
304 305 2 2 
304 471 0 0 
304 626 0 0 
305 471 0 0 
305 306 2 2 
305 627 0 0 
306 307 2 2 
306 472 0 0 
306 627 0 0 
307 472 0 0 
307 308 2 2 
307 628 0 0 
308 309 2 2 
308 473 0 0 
308 628 0 0 
309 473 0 0 
309 310 2 2 
309 629 0 0 
310 311 2 2 
310 474 0 0 
310 629 0 0 
311 474 0 0 
311 312 2 2 
311 630 0 0 
312 313 2 2 
312 475 0 0 
312 630 0 0 
313 475 0 0 
313 314 2 2 
313 631 0 0 
314 315 2 2 
314 476 0 0 
314 631 0 0 
315 476 0 0 
315 316 2 2 
315 632 0 0 
316 317 2 2 
316 477 0 0 
316 632 0 0 
317 477 0 0 
317 318 2 2 
317 633 0 0 
318 319 2 2 
318 478 0 0 
318 633 0 0 
319 478 0 0 
319 320 0 0 
320 479 0 0 
320 645 0 0 
320 478 0 0 
321 479 0 0 
321 480 0 0 
321 644 0 0 
321 795 0 0 
322 481 0 0 
322 480 0 0 
322 635 0 0 
322 794 0 0 
323 482 0 0 
323 481 0 0 
323 636 0 0 
323 802 0 0 
324 483 0 0 
324 482 0 0 
324 637 0 0 
324 803 0 0 
325 484 0 0 
325 483 0 0 
325 638 0 0 
325 804 0 0 
326 485 0 0 
326 484 0 0 
326 639 0 0 
326 805 0 0 
327 486 0 0 
327 485 0 0 
327 640 0 0 
327 806 0 0 
328 487 0 0 
328 486 0 0 
328 641 0 0 
328 807 0 0 
329 488 0 0 
329 487 0 0 
329 642 0 0 
329 808 0 0 
330 489 0 0 
330 488 0 0 
330 643 0 0 
330 809 0 0 
331 490 0 0 
331 489 0 0 
